SKU,Category (Drop Down),Sub Category (drop Down),Product Name,Features,Pricing,Description HTML,Images
ONG108,Hot Water System,Instant Heater,Water Heater with DC Pump (Sky Blue),"3-Multi Spray Handshower.
 Anti-Twist Hose.
 1-Knob Control.
 Dual Over Temperature Safety Cut-off.
 High Quality Stop Valve.
 Anti Leak Heater Tank.",300,"<div bis_skin_checked=""1"">
  <table class=""product"" style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr>
 <td class=""table-left""><strong>Shower Head</strong></td>
 <td class=""table-right"">Handshower<br>(Rainshower accessory&nbsp;<a href=""product/id/rrs-c1xx"">sold separately</a>)</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Colour</strong></td>
 <td class=""table-right"">Blue</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Pump</strong></td>
 <td class=""table-right"">DC Inverter</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Pump Noise Level</strong></td>
 <td class=""table-right"">50-60</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Thermostat</strong></td>
 <td class=""table-right"">Double Action</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Power Rating</strong></td>
 <td class=""table-right"">3.8kW</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Voltage</strong></td>
 <td class=""table-right"">240V</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Water Temperature E-Control</strong></td>
 <td class=""table-right"">Electronic</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Min Flow Rate</strong></td>
 <td class=""table-right"">2L/min</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Min Pressure</strong></td>
 <td class=""table-right"">20 kPa</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Max Pressure</strong></td>
 <td class=""table-right"">600 kPa</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Cold Water Connection</strong></td>
 <td class=""table-right"">15mm Diameter (1/2” BSP)</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Product Weight</strong></td>
 <td class=""table-right"">1.8kg</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Product Size</strong></td>
 <td class=""table-right"">(W) 22.2cm x (D) 38.8cm x (H) 10.2cm</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Package Weight</strong></td>
 <td class=""table-right"">2.85kg</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Package Size</strong></td>
 <td class=""table-right"">(L) 25.0cm x (W) 59.0cm x (H) 10.5cm</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01596.png
ONG109,Hot Water System,Instant Heater,Water Heater with DC Pump (Aqua Turquoise),"3-Multi Spray Handshower.
 Anti-Twist Hose.
 1-Knob Control.
 Dual Over Temperature Safety Cut-off.
 High Quality Stop Valve.
 Anti Leak Heater Tank.
 Rainshower Accessory: sold separately.",300,"<div bis_skin_checked=""1"">
  <table class=""product"" style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr>
 <td class=""table-left""><strong>Shower Head</strong></td>
 <td class=""table-right"">Handshower<br>(Rainshower accessory&nbsp;<a href=""product/id/rrs-c1xx"">sold separately</a>)</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Colour</strong></td>
 <td class=""table-right"">Turquoise</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Pump</strong></td>
 <td class=""table-right"">DC Inverter</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Pump Noise Level</strong></td>
 <td class=""table-right"">50-60</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Thermostat</strong></td>
 <td class=""table-right"">Double Action</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Power Rating</strong></td>
 <td class=""table-right"">3.8kW</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Voltage</strong></td>
 <td class=""table-right"">240V</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Water Temperature E-Control</strong></td>
 <td class=""table-right"">Electronic</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Min Flow Rate</strong></td>
 <td class=""table-right"">2L/min</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Min Pressure</strong></td>
 <td class=""table-right"">20 kPa</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Max Pressure</strong></td>
 <td class=""table-right"">600 kPa</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Cold Water Connection</strong></td>
 <td class=""table-right"">15mm Diameter (1/2” BSP)</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Product Weight</strong></td>
 <td class=""table-right"">1.8kg</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Product Size</strong></td>
 <td class=""table-right"">(W) 22.2cm x (D) 38.8cm x (H) 10.2cm</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Package Weight</strong></td>
 <td class=""table-right"">2.85kg</td>
 </tr>
 <tr>
 <td class=""table-left""><strong>Package Size</strong></td>
 <td class=""table-right"">(L) 25.0cm x (W) 59.0cm x (H) 10.5cm</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01600.png
ONG110,Cloth Hanger,,LD18S,"Functions:
 
 
 Remote control.
 LED lighting.
 UV lamp disinfection.
 Fan for cool air dry.
 Heater for hot air dry.
 
 
 Rods:
 
 
 2 Extendable rod for clothes hanger.
 
 
 2 Extendable rod for bedsheet.
 
 
 Rod size: 150-240cm.",288,"<div bis_skin_checked=""1"">
  <table border=""1"" width=""100%"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr style=""height: 13px;"">
 <td style=""width: 29.3683%; height: 13px;""><strong>Machine</strong></td>
 <td style=""width: 64.9866%; height: 13px;"">150cm</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""width: 29.3683%; height: 13px;""><strong>Voltage</strong></td>
 <td style=""width: 64.9866%; height: 13px;"">220V</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""width: 29.3683%; height: 13px;""><strong>Frequency</strong></td>
 <td style=""width: 64.9866%; height: 13px;"">50Hz/60Hz</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""width: 29.3683%; height: 13px;""><strong>Total Power</strong></td>
 <td style=""width: 64.9866%; height: 13px;"">898W</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""width: 29.3683%; height: 13px;""><strong>LED Light Power</strong></td>
 <td style=""width: 64.9866%; height: 13px;"">16W</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""width: 29.3683%; height: 13px;""><strong>Motor Power</strong></td>
 <td style=""width: 64.9866%; height: 13px;"">130W</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""width: 29.3683%; height: 13px;""><strong>UV Lamp Power</strong></td>
 <td style=""width: 64.9866%; height: 13px;"">7W x&nbsp;2pcs</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""width: 29.3683%; height: 13px;""><strong>Fan Power</strong></td>
 <td style=""width: 64.9866%; height: 13px;"">14W&nbsp;x 2 pcs</td>
 </tr>
 <tr style=""height: 14px;"">
 <td style=""width: 29.3683%; height: 14px;""><strong>Heater Power</strong></td>
 <td style=""width: 64.9866%; height: 14px;"">350W&nbsp;x 2</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""width: 29.3683%; height: 13px;""><strong>Holes Quantity</strong></td>
 <td style=""width: 64.9866%; height: 13px;"">24</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""width: 29.3683%; height: 13px;""><strong>Length to Drop</strong></td>
 <td style=""width: 64.9866%; height: 13px;"">Normal 1.3m</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""width: 29.3683%; height: 13px;""><strong>Loading Capacity</strong></td>
 <td style=""width: 64.9866%; height: 13px;"">Moving: 35kgs</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01723.jpg
ONG111,Cloth Hanger,,LD19S,"Remote control.
 LED lighting.
 
 
 Rods: 
 
 
 2 Extendable rod for clothes hanger.
 
 
 2 Extendable rod for bedsheet.
 
 
 Rod size: 120-220cm.",230,"<div bis_skin_checked=""1"">
  <table border=""1"" width=""100%"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr>
 <td style=""width: 33.054%;""><strong>Machine</strong></td>
 <td style=""width: 61.3008%;"">120cm</td>
 </tr>
 <tr>
 <td style=""width: 33.054%;""><strong>Voltage</strong></td>
 <td style=""width: 61.3008%;"">220V</td>
 </tr>
 <tr>
 <td style=""width: 33.054%;""><strong>Frequency</strong></td>
 <td style=""width: 61.3008%;"">50Hz/60Hz</td>
 </tr>
 <tr>
 <td style=""width: 33.054%;""><strong>Total Power</strong></td>
 <td style=""width: 61.3008%;"">140W</td>
 </tr>
 <tr>
 <td style=""width: 33.054%;""><strong>LED Light Power</strong></td>
 <td style=""width: 61.3008%;"">10W</td>
 </tr>
 <tr>
 <td style=""width: 33.054%;""><strong>Motor Power</strong></td>
 <td style=""width: 61.3008%;"">130W</td>
 </tr>
 <tr>
 <td style=""width: 33.054%;""><strong>Length to Drop</strong></td>
 <td style=""width: 61.3008%;"">Normal 1.3m</td>
 </tr>
 <tr>
 <td style=""width: 33.054%;""><strong>Loading Capacity</strong></td>
 <td style=""width: 61.3008%;"">Moving: 35kgs</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01722.jpg
ONG112,Cloth Hanger,,LD20S,"Functions:
 
 Remote control.
 LED lighting.
 Fan for cool air dry, 3 hours auto-off.
 Heater for hot air dry, 3 hours auto-off.
 App control.
 
 
 Rods: 
 
 
 2 Extendable rod for clothes hanger.
 
 
 2 Extendable rod for bedsheet.
 
 
 Rod size: 127-210cm.",230,"<div bis_skin_checked=""1"">
  <table border=""1"" width=""100%"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr style=""height: 13px;"">
 <td style=""height: 13px;""><strong>Machine</strong></td>
 <td style=""height: 13px;"">120cm</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""height: 13px;""><strong>Voltage</strong></td>
 <td style=""height: 13px;"">220V</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""height: 13px;""><strong>Frequency</strong></td>
 <td style=""height: 13px;"">50Hz/60Hz</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""height: 13px;""><strong>Total Power</strong></td>
 <td style=""height: 13px;"">140W</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""height: 13px;""><strong>LED Light Power</strong></td>
 <td style=""height: 13px;"">10W</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""height: 13px;""><strong>Motor Power</strong></td>
 <td style=""height: 13px;"">130W</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""height: 13px;""><strong>Length to Drop</strong></td>
 <td style=""height: 13px;"">Normal 1.3m</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""height: 13px;""><strong>Loading Capacity</strong></td>
 <td style=""height: 13px;"">Moving: 35kgs</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01724.jpg
ONG113,Cloth Hanger,,LD02M,"2400mm (8ft) length rack.
 Unique designed roller prevents wire separation.
 Gear reduction for light weight operation.
 Premium quality mechanism..",200,,https://www.bumhan.com.my/product_img/IM01726.jpg
ONG114,Cloth Hanger,,4 Bar Stainless Steel Laundry Hanger (3ft),,200,"<div bis_skin_checked=""1"">
  <table style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr>
 <td><strong>Dimension</strong></td>
 <td>900mm</td>
 </tr>
 <tr>
 <td><strong>Weight</strong></td>
 <td>4.8kg</td>
 </tr>
 <tr>
 <td><strong>Material</strong></td>
 <td>Stainless Steel 304</td>
 </tr>
 <tr>
 <td><strong>Finish</strong></td>
 <td>Chrome Hairline</td>
 </tr>
 <tr>
 <td><strong>Product Warranty</strong></td>
 <td>25 years</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01837.png
ONG115,Cloth Hanger,,4 Bar Stainless Steel Laundry Hanger (4ft),,200,"<div bis_skin_checked=""1"">
  <table style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr>
 <td><strong>Dimension</strong></td>
 <td>1200mm</td>
 </tr>
 <tr>
 <td><strong>Weight</strong></td>
 <td>5.2kg</td>
 </tr>
 <tr>
 <td><strong>Material</strong></td>
 <td>Stainless Steel 304</td>
 </tr>
 <tr>
 <td><strong>Finish</strong></td>
 <td>Chrome Hairline</td>
 </tr>
 <tr>
 <td><strong>Product Warranty</strong></td>
 <td>25 years</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01838.png
ONG116,Cloth Hanger,,4 Bar Stainless Steel Laundry Hanger (6ft),,200,"<div bis_skin_checked=""1"">
  <table style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr>
 <td><strong>Dimension</strong></td>
 <td>1800mm</td>
 </tr>
 <tr>
 <td><strong>Weight</strong></td>
 <td>7.5kg</td>
 </tr>
 <tr>
 <td><strong>Material</strong></td>
 <td>Stainless Steel 304</td>
 </tr>
 <tr>
 <td><strong>Finish</strong></td>
 <td>Chrome Hairline</td>
 </tr>
 <tr>
 <td><strong>Product Warranty</strong></td>
 <td>25 years</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01839.png
ONG117,Cloth Hanger,,Stainless Steel Free Standing Laundry Hanger (3ft),,200,"<div bis_skin_checked=""1"">
  <table style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr>
 <td><strong>Dimension</strong></td>
 <td>900mm</td>
 </tr>
 <tr>
 <td><strong>Weight</strong></td>
 <td>7.5kg</td>
 </tr>
 <tr>
 <td><strong>Material</strong></td>
 <td>Stainless Steel 304</td>
 </tr>
 <tr>
 <td><strong>Finish</strong></td>
 <td>Chrome Hairline</td>
 </tr>
 <tr>
 <td><strong>Product Warranty</strong></td>
 <td>25 years</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01834.png
ONG118,Cloth Hanger,,Stainless Steel Free Standing Laundry Hanger (4ft),,200,"<div bis_skin_checked=""1"">
  <table style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr>
 <td><strong>Dimension</strong></td>
 <td>1200mm</td>
 </tr>
 <tr>
 <td><strong>Weight</strong></td>
 <td>7.5kg</td>
 </tr>
 <tr>
 <td><strong>Material</strong></td>
 <td>Stainless Steel 304</td>
 </tr>
 <tr>
 <td><strong>Finish</strong></td>
 <td>Chrome Hairline</td>
 </tr>
 <tr>
 <td><strong>Product Warranty</strong></td>
 <td>25 years</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01835.png
ONG119,Cloth Hanger,,Stainless Steel Free Standing Laundry Hanger (5ft),,200,"<div bis_skin_checked=""1"">
  <table style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr>
 <td><strong>Dimension</strong></td>
 <td>1500mm</td>
 </tr>
 <tr>
 <td><strong>Weight</strong></td>
 <td>7.5kg</td>
 </tr>
 <tr>
 <td><strong>Material</strong></td>
 <td>Stainless Steel 304</td>
 </tr>
 <tr>
 <td><strong>Finish</strong></td>
 <td>Chrome Hairline</td>
 </tr>
 <tr>
 <td><strong>Product Warranty</strong></td>
 <td>25 years</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01836.png
ONG120,Cloth Hanger,,Towel Dryer Rack,,200,"<div bis_skin_checked=""1"">
  <table style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr>
 <td><strong>Dimension</strong></td>
 <td>(W) 850mm<br>(D) 400mm<br>(H) 850mm</td>
 </tr>
 <tr>
 <td><strong>Material</strong></td>
 <td>Stainless Steel 304</td>
 </tr>
 <tr>
 <td><strong>Finish</strong></td>
 <td>Chrome Hairline</td>
 </tr>
 <tr>
 <td><strong>Product Warranty</strong></td>
 <td>25 years</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01840.png
ONG121,Cloth Hanger,,Stainless Steel Free Standing Foldable Clothes Drying Rack,"6 Bar with Teeth Rod Design.
 Lockable caster.
 Durable, rust-resistant stainless steel construction.
 Srong and stable.
 Able to support heavy load.
 Foldable bracket.
 Space saving.
 20mm stainless steel hollow bar.",200,"<div bis_skin_checked=""1"">
  <table style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr>
 <td style=""width: 44px;""><strong>Material</strong></td>
 <td style=""width: 53.1094px;"">Stainless Steel&nbsp;SUS304</td>
 </tr>
 <tr>
 <td style=""width: 44px;""><strong>Finishing</strong></td>
 <td style=""width: 53.1094px;"">Satin Nickel</td>
 </tr>
 <tr>
 <td style=""width: 44px;""><strong>Size</strong></td>
 <td style=""width: 53.1094px;"">930 x 1200 x 1680mm</td>
 </tr>
 <tr>
 <td style=""width: 44px;""><strong>Weight</strong></td>
 <td style=""width: 53.1094px;"">8.2kg</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01718.jpg
ONG122,OKU Solution,,Handicap Wall Hung Basin,,1100,"<div bis_skin_checked=""1"">
  <table style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr>
 <td><strong>Bowl Depth</strong></td>
 <td>190mm</td>
 </tr>
 <tr>
 <td><strong>Bowl Length</strong></td>
 <td>640mm</td>
 </tr>
 <tr>
 <td><strong>Bowl Width</strong></td>
 <td>545mm</td>
 </tr>
 <tr>
 <td><strong>Fixing Kit</strong></td>
 <td>Included</td>
 </tr>
 <tr>
 <td><strong>Installation Type</strong></td>
 <td>Wall-hung</td>
 </tr>
 <tr>
 <td><strong>Material</strong></td>
 <td>Vitreous China</td>
 </tr>
 <tr>
 <td><strong>Overflow type</strong></td>
 <td>Standard</td>
 </tr>
 <tr>
 <td><strong>Plug and Waste</strong></td>
 <td>Not Included</td>
 </tr>
 <tr>
 <td><strong>Shape</strong></td>
 <td>Square</td>
 </tr>
 <tr>
 <td><strong>Taphole Configuration</strong></td>
 <td>3 Prepunched tapholes</td>
 </tr>
 <tr>
 <td><strong>Waste</strong></td>
 <td>Not Included</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01681.jpg
ONG123,OKU Solution,,Boston 600 Clinical Wall Hung Basin,,1100,"<div bis_skin_checked=""1"">
  <table style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr>
 <td style=""width: 38.2224%;""><strong>Bowl Depth</strong></td>
 <td style=""width: 56.1324%;"">215mm</td>
 </tr>
 <tr>
 <td style=""width: 38.2224%;""><strong>Bowl Length</strong></td>
 <td style=""width: 56.1324%;"">610mm</td>
 </tr>
 <tr>
 <td style=""width: 38.2224%;""><strong>Bowl Width</strong></td>
 <td style=""width: 56.1324%;"">460mm</td>
 </tr>
 <tr>
 <td style=""width: 38.2224%;""><strong>Fixing Kit</strong></td>
 <td style=""width: 56.1324%;"">Included</td>
 </tr>
 <tr>
 <td style=""width: 38.2224%;""><strong>Installation Type</strong></td>
 <td style=""width: 56.1324%;"">Wall-hung</td>
 </tr>
 <tr>
 <td style=""width: 38.2224%;""><strong>Material</strong></td>
 <td style=""width: 56.1324%;"">Vitreous China</td>
 </tr>
 <tr>
 <td style=""width: 38.2224%;""><strong>Plug and Waste</strong></td>
 <td style=""width: 56.1324%;"">Not Included</td>
 </tr>
 <tr>
 <td style=""width: 38.2224%;""><strong>Shape</strong></td>
 <td style=""width: 56.1324%;"">Round</td>
 </tr>
 <tr>
 <td style=""width: 38.2224%;""><strong>Taphole Configuration</strong></td>
 <td style=""width: 56.1324%;"">No tapholes</td>
 </tr>
 <tr>
 <td style=""width: 38.2224%;""><strong>Waste</strong></td>
 <td style=""width: 56.1324%;"">Not Included</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01682.jpg
ONG124,OKU Solution,,Boston 500 Clinical Wall Hung Basin,,900,"<div bis_skin_checked=""1"">
  <table style=""width: 100%;"" border=""1"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr style=""height: 13px;"">
 <td style=""height: 13px; width: 34.3246%;""><strong>Bowl Depth</strong></td>
 <td style=""height: 13px; width: 60.0302%;"">210mm</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""height: 13px; width: 34.3246%;""><strong>Bowl Length</strong></td>
 <td style=""height: 13px; width: 60.0302%;"">500mm</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""height: 13px; width: 34.3246%;""><strong>Bowl Width</strong></td>
 <td style=""height: 13px; width: 60.0302%;"">430mm</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""height: 13px; width: 34.3246%;""><strong>Installation Type</strong></td>
 <td style=""height: 13px; width: 60.0302%;"">Wall-hung</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""height: 13px; width: 34.3246%;""><strong>Material</strong></td>
 <td style=""height: 13px; width: 60.0302%;"">Vitreous China</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""height: 13px; width: 34.3246%;""><strong>Overflow Type</strong></td>
 <td style=""height: 13px; width: 60.0302%;"">Standard</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""height: 13px; width: 34.3246%;""><strong>Plug and Waste</strong></td>
 <td style=""height: 13px; width: 60.0302%;"">Not Included</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""height: 13px; width: 34.3246%;""><strong>Shape</strong></td>
 <td style=""height: 13px; width: 60.0302%;"">Oval</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""height: 13px; width: 34.3246%;""><strong>Taphole Configuration</strong></td>
 <td style=""height: 13px; width: 60.0302%;"">No tapholes</td>
 </tr>
 <tr style=""height: 13px;"">
 <td style=""height: 13px; width: 34.3246%;""><strong>Waste</strong></td>
 <td style=""height: 13px; width: 60.0302%;"">Not Included</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01683.jpg
ONG125,OKU Solution,,Deck Mounted Elbow Action Pillar Tap,,1200,"<div bis_skin_checked=""1"">
  <table border=""1"" width=""100%"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr valign=""top"">
 <td style=""width: 43.4268%;""><strong>Application Place</strong></td>
 <td style=""width: 55.5732%;"">Basin</td>
 </tr>
 <tr valign=""top"">
 <td style=""width: 43.4268%;""><strong>Finish</strong></td>
 <td style=""width: 55.5732%;"">Chrome</td>
 </tr>
 <tr valign=""top"">
 <td style=""width: 43.4268%;""><strong>Installation Type</strong></td>
 <td style=""width: 55.5732%;"">Deck-mounted</td>
 </tr>
 <tr valign=""top"">
 <td style=""width: 43.4268%;""><strong>Maximum Continuous Working Pressure (kPa)</strong></td>
 <td style=""width: 55.5732%;"">500</td>
 </tr>
 <tr valign=""top"">
 <td style=""width: 43.4268%;""><strong>Minimum Continuous Working Pressure (kPa)</strong></td>
 <td style=""width: 55.5732%;"">100</td>
 </tr>
 <tr valign=""top"">
 <td style=""width: 43.4268%;""><strong>Number of Bodies</strong></td>
 <td style=""width: 55.5732%;"">1 body</td>
 </tr>
 <tr valign=""top"">
 <td style=""width: 43.4268%;""><strong>Type of Cartridge</strong></td>
 <td style=""width: 55.5732%;"">Ceramic Headwork</td>
 </tr>
 <tr valign=""top"">
 <td style=""width: 43.4268%;""><strong>Waste</strong></td>
 <td style=""width: 55.5732%;"">Not Included&nbsp;</td>
 </tr>
 <tr valign=""top"">
 <td style=""width: 43.4268%;""><strong>Water Connection Thread</strong></td>
 <td style=""width: 55.5732%;"">1/2""</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01684.jpg
ONG126,OKU Solution,,Wall Mounted Elbow Action Pillar Tap,,900,"<div bis_skin_checked=""1"">
  <table border=""1"" width=""100%"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr valign=""top"">
 <td style=""width: 44.4178%;""><strong>Aerator Type</strong></td>
 <td style=""width: 49.937%;"">Integrated Aerator</td>
 </tr>
 <tr valign=""top"">
 <td style=""width: 44.4178%;""><strong>Application Place</strong></td>
 <td style=""width: 49.937%;"">Outdoors</td>
 </tr>
 <tr valign=""top"">
 <td style=""width: 44.4178%;""><strong>Finish</strong></td>
 <td style=""width: 49.937%;"">Chrome</td>
 </tr>
 <tr valign=""top"">
 <td style=""width: 44.4178%;""><strong>Installation Type</strong></td>
 <td style=""width: 49.937%;"">Wall-mounted</td>
 </tr>
 <tr valign=""top"">
 <td style=""width: 44.4178%;""><strong>Maximum Continuous Working Pressure (kPa)</strong></td>
 <td style=""width: 49.937%;"">500</td>
 </tr>
 <tr valign=""top"">
 <td style=""width: 44.4178%;""><strong>Minimum Continuous Working Pressure (kPa)</strong></td>
 <td style=""width: 49.937%;"">100</td>
 </tr>
 <tr valign=""top"">
 <td style=""width: 44.4178%;""><strong>Number of Bodies</strong></td>
 <td style=""width: 49.937%;"">1 body</td>
 </tr>
 <tr valign=""top"">
 <td style=""width: 44.4178%;""><strong>Type of Cartridge</strong></td>
 <td style=""width: 49.937%;"">Ceramic Headwork</td>
 </tr>
 <tr valign=""top"">
 <td style=""width: 44.4178%;""><strong>Waste</strong></td>
 <td style=""width: 49.937%;"">Not Included&nbsp;</td>
 </tr>
 <tr valign=""top"">
 <td style=""width: 44.4178%;""><strong>Water Connection&nbsp;Thread</strong></td>
 <td style=""width: 49.937%;"">1/2""</td>
 </tr>
 </tbody>
 </table> 
  </div>",https://www.bumhan.com.my/product_img/IM01685.jpg
ONG127,OKU Solution,,1/2 CP Wall Mounted Medical Mixer with Swivel Spout,"180mm Long Lever Handles.
 1/4 Turn Ceramic Disc.
 Inlet Connection: 155mm.",900,,https://www.bumhan.com.my/product_img/IM01965.png
ONG128,OKU Solution,,Medical Tap Wall Mounted Elbowline,"Brass Chrome Plated.
 Cold Water.",900,,https://www.bumhan.com.my/product_img/IM01963.png
ONG129,OKU Solution,,Medical Tap CP Pillar Mounted Elbow,Brass Chrome Plated.,900,,https://www.bumhan.com.my/product_img/IM01964.png
ONG130,OKU Solution,,Nylon Anti-bacterial Straight Grab Bar (450mm),,890,"<div bis_skin_checked=""1"">
  <div bis_skin_checked=""1"">
 <table border=""1"" width=""100%"" cellspacing=""5"" cellpadding=""5"">
 <tbody>
 <tr valign=""top"">
 <td style=""width: 37.0149%;""><strong>Finish</strong></td>
 <td style=""width: 57.34%;"">White</td>
 </tr>
 <tr valign=""top"">
 <td style=""width: 37.0149%;""><strong>Fixing Kit</strong></td>
 <td style=""width: 57.34%;"">Included</td>
 </tr>
 <tr valign=""top"">
 <td style=""width: 37.0149%;""><strong>Grab Rail Diameter (mm)</strong></td>
 <td style=""width: 57.34%;"">35</td>
 </tr>
 <tr valign=""top"">
 <td style=""width: 37.0149%;""><strong>Installation Type</strong></td>
 <td style=""width: 57.34%;"">Wall-mounted</td>
 </tr>
 <tr valign=""top"">
 <td style=""width: 37.0149%;""><strong>Material</strong></td>
 <td style=""width: 57.34%;"">Stainless Steel</td>
 </tr>
 <tr valign=""top"">
 <td style=""width: 37.0149%;""><strong>Shape</strong></td>
 <td style=""width: 57.34%;"">&nbsp;Angular</td>
 </tr>
 </tbody>
 </table>
 </div> 
  </div>",https://www.bumhan.com.my/product_img/IM01686.jpg
